ID,UUID,Username,Email,Password,Stage,Strategy,CompletedTutorial,DateOfBirth,AccountCreatedTime
66,vJme4H_EOI-sAszpAABX,testb15,testb15,$2a$05$Vm.UuM0KjCDhnjZT3gAxqecFmSg/p1/ycec2zqNQh12Lw9KEYjJPm,1,2,,testb15,2024-05-07 09:36:27
67,a4tl6PYWtZFUbbeKAABZ,testb16,testb16,$2a$05$wrwzzUh4GZJm7tMUt56kdui4mNtmw16xzgpPFyu5xMKkT0767/qTa,1,2,,testb16,2024-05-07 09:37:17
68,bVF2qIQTP5KKQ3MRAABb,testb17,testb17,$2a$05$AB5pKAhgUBMvPsAqQeMBsOkKLg8qcSghi57eyPIfBOkU7/4l9C8gO,1,2,,testb17,2024-05-07 09:37:33
69,oYXcchHF3zQN-WE2AABd,testb18,testb18,$2a$05$1yVICDpknw4lgceo1J.8T.G7C04HvbTEIOoEvItKPjmIX11FcAAhS,1,2,,testb18,2024-05-07 09:37:55
70,p4Qod5HVlRe8Gbg1AABf,testb19,testb19,$2a$05$mmcFA0WpcJ4wX0Z0eQJjvu2QjWoAhK/Hh47Ks4IxGWDWsBHqRgaee,1,2,,testb19,2024-05-07 09:38:18
71,LmdM-XqFEDOGu8DIAABh,testb20,testb20,$2a$05$C5otuXHKaqVUl2jA79oZ1egYwFp3v7QGBn7XXYUrkIu.MMEC1.rmS,1,2,,testb20,2024-05-07 09:38:39
72,CetUa_8fqaFEpbHMAABj,testc1,testc1,$2a$05$Mo7AjEw5q0mKGpcfVERwpenjZiwEOV0DKVmI7iO1YK24InVTjHg7a,1,3,1,testc1,2024-05-07 09:39:07
73,BhbR_3iH65EAjbNvAABl,testc2,testc2,$2a$05$S2pzIts3AHSn04sLTK/xZ.igmA0Lh1Y8GGvbBzj.Hzng0e3G9VRl2,5,3,1,testc2,2024-05-07 09:39:19
74,CasrktYJlc8qPX2CAABn,testc3,testc3,$2a$05$zv9X31X4MAL1nrkAVKyRIetB0r7nHjiww/IBvRpfwg759.n.iJfli,5,3,1,testc3,2024-05-07 09:39:30
75,3ZREHYD1CBonpIcVAABp,testc4,testc4,$2a$05$UwNgM5RDtRsztmuLZPL4HuCO0H5w9L04Vb4vfb3FKpul/VLL8GzSe,4,3,1,testc4,2024-05-07 09:39:42
76,Ep49gmLrGqpBtYz8AABr,testc5,testc5,$2a$05$U7B8P4ckMPqNKSfoTrb2rOnHe9rssN6SWOZxwCuyNO2Zw3BrHRcwm,2,3,1,testc5,2024-05-07 09:39:54
77,q5Up19LMcbt1HHMTAABt,testc6,testc6,$2a$05$XCRd0Fh8FSwtlidICCGwqeSB8JSvijSPi3kMKTLRrIHaZ.kZijcJG,5,3,1,testc6,2024-05-07 09:40:07
78,NeTWSiiRjyGAgglBAABv,testc7,testc7,$2a$05$liDTFc8xwTrpM7yd.rlPcuz9lkBS95qh6jf1PrdadAqpyQxxRTOOG,3,3,1,testc7,2024-05-07 09:40:22
79,zcD_J2xhDjd_gkwjAABx,testc8,testc8,$2a$05$kx/OIBlBDXYMqdfZ2fCMV.E0NY8e0I6hLylfWD0xBIi/InaF1dJzy,2,3,1,testc8,2024-05-07 09:40:38
80,dalceiqVI5iaKerlAABz,testc9,testc9,$2a$05$ojxR7bCWFg1x3UjSytB49uApS/6uyO6egZs9nlBCHoXG1RWiVKDlW,5,3,1,testc9,2024-05-07 09:40:54
81,gQgTxlwOVBki3voxAAB1,testc10,testc10,$2a$05$yaadR9KrJRb.O/NITWsIw.qfZh8gCGkv3FXviuij204yNE6GQBg42,5,3,1,testc10,2024-05-07 09:41:17
82,rhgGcsiae5ZImYQ1AAB3,testc11,testc11,$2a$05$RWFMASlYblYyUArilrvTZu5cPVsxfXPecqGFva4GJ9UduACp35pF2,1,3,,testc11,2024-05-07 09:41:29
83,28t-xAd8RkmwMVW7AAB5,testc12,testc12,$2a$05$u5SWCoULCdEFmSqELgu0X.6fLenifnJcSaJlL7lefwEu8yu9XXnDS,1,3,,testc12,2024-05-07 09:41:41
84,LkeqPGmtP5bYymh1AAB7,testc13,testc13,$2a$05$8UIvorFqeRuVgB1oPWP48eWaI/1QqY6ItUprgkC5Bv0TyfqW.Fnuu,1,3,,testc13,2024-05-07 09:41:54
85,IU8_QhVQIUSnrNj8AAB9,testc14,testc14,$2a$05$oLOUKwBJoPurdiAIrAB.Tu1goBfHweS0oZTiqPuaUXB5H/zuVe.h2,1,3,,testc14,2024-05-07 09:42:06
86,ViDmNtaZaXtcTDvOAAB_,testc15,testc15,$2a$05$JalrkavYQIE8/AENbIModOei//cPVD70DADbf6c2JQfvnmPLbUNA.,1,3,,testc15,2024-05-07 09:42:30
87,SB5gb4_aK4skGwyBAACB,testc16,testc16,$2a$05$t.Tqr8TJEsWIDIN8uHD.JeZlo3UkCnjzoPkp.pLSzaOFxfWcdbZe6,1,3,,testc16,2024-05-07 09:43:00
88,hBxB1y30TBQTClsKAACD,testc17,testc17,$2a$05$7Dfyze7yJ5.7k/HNiwF3..OO7C3oePppovk5CfkUKr9srIYHrKa3C,1,3,,testc17,2024-05-07 09:43:16
89,jF20LOLC4ZBZAlsjAACF,testc18,testc18,$2a$05$Qq4b9NQmLX5mKGGEJUqf0O4hWsWe6QK8wzPp9mVOk2KRS3aOt.DlW,1,3,,testc18,2024-05-07 09:43:32
90,-QVU3z2ShTg5LTClAACH,testc19,testc19,$2a$05$L8cY6C5qGwpikJUdaNVIyu0rJka.n2M.GfevBl3vHrxWBGUAZf.oi,1,3,,testc19,2024-05-07 09:43:55
91,jGAwY_7CUytYuxSgAACJ,testc20,testc20,$2a$05$rJ9jAauWYAS9qvefYAPW8uhgw3aliOQ3QJghXRKr8zXgfa0x0/29O,5,3,1,testc20,2024-05-07 09:44:17
